Date,SPYSIM,QQQSIM,XLBSIM,XLCSIM,XLESIM,XLFSIM,XLISIM,XLKSIM,XLPSIM,ZVOLSIM,XLUSIM,XLVSIM,XLYSIM,KMLMSIM,GLDSIM,SLVSIM,SVIXSIM,TLTSIM,ZROZSIM,VXUSSIM,VTISIM,DBMFSIM,VIXSIM,GSGSIM,IEFSIM,IEISIM,SHYSIM,CASHX,CAOSSIM,FNGUSIM,MCISIM,GDESIM,BTCSIM,ETHSIM,VOOSIM,OEFSIM,MDYSIM,IJRSIM,IWMSIM,VEASIM,VWOSIM,VSSSIM,EFVSIM,VTSIM,VTVSIM,VUGSIM,VOSIM,VOESIM,VOTSIM,VBSIM,VBRSIM,VBKSIM,IWCSIM,TIPSIM,BNDSIM,REITSIM,INFLATION,RSSBSIM,UVIXSIM1,UVIXSIM2,VIXMSIM,VXZSIM,USMVSIM,MTUMSIM,EFASIM,VCITSIM,STIPSIM,LTPZSIM,NTSDSIM,UUPSIM
1885-08-18,11421.64,,,,,,,,,,,,,,,,,,,,,,,,,,,10103.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-19,11589.04,,,,,,,,,,,,,,,,,,,,,,,,,,,10104.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-20,11494.97,,,,,,,,,,,,,,,,,,,,,,,,,,,10105.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-21,11511.76,,,,,,,,,,,,,,,,,,,,,,,,,,,10106.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-24,11442.79,,,,,,,,,,,,,,,,,,,,,,,,,,,10107.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-25,11338.26,,,,,,,,,,,,,,,,,,,,,,,,,,,10108.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-26,11384.34,,,,,,,,,,,,,,,,,,,,,,,,,,,10109.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-27,11528.73,,,,,,,,,,,,,,,,,,,,,,,,,,,10110.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-28,11453.48,,,,,,,,,,,,,,,,,,,,,,,,,,,10111.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-31,11288.29,,,,,,,,,,,,,,,,,,,,,,,,,,,10112.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-09-01,11215.13,,,,,,,,,,,,,,,,,,,,,,,,,,,10113.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9684.24,,,,,,,,,,,,,
1885-09-02,11298.86,,,,,,,,,,,,,,,,,,,,,,,,,,,10114.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9680.6,,,,,,,,,,,,,
1885-09-03,11252.9,,,,,,,,,,,,,,,,,,,,,,,,,,,10115.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9676.97,,,,,,,,,,,,,
1885-09-04,11219.5,,,,,,,,,,,,,,,,,,,,,,,,,,,10116.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9673.33,,,,,,,,,,,,,
1885-09-07,10876.51,,,,,,,,,,,,,,,,,,,,,,,,,,,10117.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9662.42,,,,,,,,,,,,,
