Date,BND,XLC,VTV
1927-09-12,,12849.5000000000,7.8612250515
1927-09-13,,13277.3400000000,7.9627822374
1927-09-14,,13258.7100000000,7.9487556487
1927-09-15,,13161.8700000000,7.9685075014
1927-09-16,,13136.8200000000,7.9597932674
1927-09-19,,13151.0300000000,7.8775626994
1927-09-20,,13219.3700000000,7.9321036967
1927-09-21,,13258.9800000000,7.9337738222
1927-09-22,,13111.7600000000,7.8491151012
1927-09-23,,13131.3800000000,7.8720099944
1927-09-26,,13179.8100000000,7.8518822094
1927-09-27,,13211.3900000000,7.8617427287
1927-09-28,,13216.6300000000,7.8508222036
1927-09-29,,13219.2200000000,7.8559126967
1927-09-30,,13406.8900000000,7.9389937346
1927-10-03,,13461.8600000000,8.0386897474
1927-10-04,,13499.5100000000,7.9677309855
1927-10-05,,13499.4600000000,7.9331575397
1927-10-06,,13570.9600000000,7.9579875598
1927-10-07,,13630.6200000000,7.8803791102
1927-10-10,,13772.4300000000,7.7973597006
1927-10-11,,13821.9600000000,7.7994057583
1927-10-13,,13799.7900000000,7.8562270008
1927-10-14,,13719.7000000000,7.8514076720
1927-10-17,,13544.0400000000,7.7486918751
1927-10-18,,13529.1000000000,7.7793457644
1927-10-19,,13428.9300000000,7.7298582832
1927-10-20,,13269.0800000000,7.6648651354
1927-10-21,,13039.4800000000,7.6208071027
1927-10-24,,13053.6100000000,7.6077172633
1927-10-25,,13292.4500000000,7.7063039677
1927-10-26,,13285.7600000000,7.7117334162
1927-10-27,,13257.8100000000,7.6786575368
1927-10-28,,13167.6100000000,7.5657237768
1927-10-31,,13126.7300000000,7.5612618918
1927-11-01,,13105.6800000000,7.5799229245
1927-11-02,,13164.6100000000,7.6523114618
1927-11-03,,13289.6300000000,7.7573198294
1927-11-04,,13293.5700000000,7.7464116300
1927-11-07,,13314.7900000000,7.8438089093
1927-11-09,,13317.4100000000,7.7824025254
1927-11-10,,13325.3500000000,7.8033992686
1927-11-11,,13323.9700000000,7.8652247246
1927-11-14,,13375.9000000000,7.9463274958
1927-11-15,,13371.8400000000,7.9595036147
1927-11-16,,13369.1200000000,7.9434494567
1927-11-17,,13468.0100000000,7.9491500694
1927-11-18,,13515.1000000000,7.9769012684
1927-11-21,,13502.8700000000,7.9423278226
1927-11-22,,13493.3700000000,7.9831750238
1927-11-23,,13559.4400000000,8.0071853883
1927-11-25,,13524.1400000000,8.0437371007
