Date,SPMOSIM
1973-12-03,10657.6500000000
1973-12-04,10703.1700000000
1973-12-05,10592.5200000000
1973-12-06,10800.3100000000
1973-12-07,11048.4500000000
1973-12-10,11228.1000000000
1973-12-11,11083.3700000000
1973-12-12,10799.9500000000
1973-12-13,10657.2900000000
1973-12-14,10792.5900000000
1973-12-17,10754.8800000000
1973-12-18,10966.8500000000
1973-12-19,10962.8200000000
1973-12-20,10969.8300000000
1973-12-21,10888.8900000000
1973-12-24,10834.2300000000
1973-12-26,11142.3900000000
1973-12-27,11353.7600000000
1973-12-28,11357.3900000000
1973-12-31,11384.3000000000
1974-01-02,11403.4900000000
1974-01-03,11659.3500000000
1974-01-04,11558.4000000000
1974-01-07,11425.9200000000
1974-01-08,11186.5000000000
1974-01-09,10750.7800000000
1974-01-10,10557.1500000000
1974-01-11,10651.0500000000
1974-01-14,10589.7400000000
1974-01-15,10686.4200000000
1974-01-16,10830.0600000000
1974-01-17,10933.0700000000
1974-01-18,10681.0800000000
1974-01-21,10589.2100000000
1974-01-22,10716.9400000000
1974-01-23,10797.0600000000
1974-01-24,10779.2400000000
1974-01-25,10775.7300000000
1974-01-28,10731.3000000000
1974-01-29,10682.0800000000
1974-01-30,10798.9500000000
1974-01-31,10716.2700000000
1974-02-01,10591.4700000000
1974-02-04,10414.6500000000
1974-02-05,10375.6200000000
1974-02-06,10389.7900000000
1974-02-07,10375.0500000000
1974-02-08,10263.3000000000
1974-02-11,10046.3200000000
1974-02-12,10058.9900000000
1974-02-13,10063.2400000000
1974-02-14,10078.8100000000
1974-02-15,10224.9200000000
1974-02-19,10221.6500000000
1974-02-20,10364.5100000000
1974-02-21,10577.4600000000
1974-02-22,10665.0400000000
1974-02-25,10638.4800000000
1974-02-26,10767.0600000000
1974-02-27,10822.9000000000
1974-02-28,10808.9600000000
1974-03-01,10702.2500000000
1974-03-04,10681.4300000000
1974-03-05,10881.3200000000
1974-03-06,10944.5200000000
1974-03-07,10824.9300000000
1974-03-08,10896.7800000000
1974-03-11,11020.0400000000
1974-03-12,11067.0000000000
1974-03-13,11118.9300000000
1974-03-14,11095.0600000000
1974-03-15,11055.0900000000
1974-03-18,10893.6500000000
1974-03-19,10820.7200000000
1974-03-20,10862.2000000000
1974-03-21,10852.5000000000
1974-03-22,10813.5400000000
1974-03-25,10802.7500000000
1974-03-26,10855.1900000000
1974-03-27,10751.0200000000
1974-03-28,10542.3400000000
1974-03-29,10491.0200000000
1974-04-01,10440.1200000000
1974-04-02,10415.2000000000
1974-04-03,10513.5500000000
1974-04-04,10499.2200000000
1974-04-05,10325.4500000000
1974-04-08,10193.6100000000
1974-04-09,10268.0100000000
1974-04-10,10267.6300000000
1974-04-11,10253.5700000000
1974-04-15,10253.2000000000
1974-04-16,10394.5500000000
1974-04-17,10452.8400000000
1974-04-18,10528.2400000000
1974-04-19,10439.3600000000
1974-04-22,10421.4200000000
1974-04-23,10265.9200000000
1974-04-24,10065.3700000000
1974-04-25,9870.3200000000
1974-04-26,9928.3000000000
1974-04-29,9956.8300000000
1974-04-30,10036.9100000000
1974-05-01,10278.0600000000
1974-05-02,10301.8800000000
1974-05-03,10254.8100000000
1974-05-06,10207.7500000000
1974-05-07,10227.5100000000
1974-05-08,10186.5100000000
1974-05-09,10311.0200000000
1974-05-10,10188.2000000000
1974-05-13,10097.9600000000
1974-05-14,10093.4000000000
1974-05-15,10069.4900000000
1974-05-16,9883.1600000000
1974-05-17,9677.7700000000
1974-05-20,9560.7300000000
1974-05-21,9481.5400000000
1974-05-22,9312.4600000000
1974-05-23,9241.0400000000
1974-05-24,9359.4900000000
1974-05-28,9296.1700000000
1974-05-29,9065.8300000000
1974-05-30,9144.8600000000
1974-05-31,9156.0300000000
1974-06-03,9377.9400000000
1974-06-04,9537.1500000000
1974-06-05,9573.2900000000
1974-06-06,9716.0800000000
1974-06-07,9788.9200000000
1974-06-10,9875.2600000000
1974-06-11,9781.4200000000
1974-06-12,9753.8700000000
1974-06-13,9804.0700000000
1974-06-14,9719.7700000000
1974-06-17,9617.6800000000
1974-06-18,9568.0100000000
1974-06-19,9499.7700000000
1974-06-20,9442.9000000000
1974-06-21,9407.8100000000
1974-06-24,9408.3900000000
1974-06-25,9530.3600000000
1974-06-26,9436.5400000000
1974-06-27,9316.3100000000
1974-06-28,9287.4100000000
1974-07-01,9272.1400000000
1974-07-02,9100.3500000000
1974-07-03,9063.9400000000
1974-07-05,9025.1800000000
1974-07-08,8777.5300000000
1974-07-09,8815.2800000000
1974-07-10,8656.1300000000
1974-07-11,8664.4600000000
1974-07-12,8999.5400000000
1974-07-15,9073.4200000000
1974-07-16,9023.8500000000
1974-07-17,9140.7500000000
1974-07-18,9196.6200000000
1974-07-19,9211.2300000000
1974-07-22,9229.3600000000
1974-07-23,9387.7700000000
1974-07-24,9477.0100000000
1974-07-25,9488.1300000000
1974-07-26,9324.0600000000
1974-07-29,9174.3300000000
1974-07-30,9117.7800000000
1974-07-31,9067.7800000000
1974-08-01,9008.2400000000
1974-08-02,9018.6600000000
1974-08-05,9102.0700000000
1974-08-06,9215.4100000000
1974-08-07,9413.0700000000
1974-08-08,9315.7600000000
1974-08-09,9294.1700000000
